Full Name,Email,Password,Role
System Admin,admin@fyp.com,Admin@System,Admin
Ali Khan,ali.khan@student.fyp.com,Student@Ali,Student
Ahmed Raza,ahmed.raza@student.fyp.com,Student@Ahmed,Student
Muhammad Bilal,muhammad.bilal@student.fyp.com,Student@Bilal,Student
Usman Tariq,usman.tariq@student.fyp.com,Student@Usman,Student
Hamza Ali,hamza.ali@student.fyp.com,Student@Hamza,Student
Saad Malik,saad.malik@student.fyp.com,Student@Saad,Student
Zain Ahmed,zain.ahmed@student.fyp.com,Student@Zain,Student
Ahsan Khan,ahsan.khan@student.fyp.com,Student@Ahsan,Student
Talha Raza,talha.raza@student.fyp.com,Student@Talha,Student
Hassan Ali,hassan.ali@student.fyp.com,Student@Hassan,Student
Farhan Sheikh,farhan.sheikh@student.fyp.com,Student@Farhan,Student
Huzaifa Malik,huzaifa.malik@student.fyp.com,Student@Huzaifa,Student
Taha Khan,taha.khan@student.fyp.com,Student@Taha,Student
Daniyal Ahmed,daniyal.ahmed@student.fyp.com,Student@Daniyal,Student
Rehan Ali,rehan.ali@student.fyp.com,Student@Rehan,Student
Salman Tariq,salman.tariq@student.fyp.com,Student@Salman,Student
Arsalan Khan,arsalan.khan@student.fyp.com,Student@Arsalan,Student
Abdullah Raza,abdullah.raza@student.fyp.com,Student@Abdullah,Student
Umar Sheikh,umar.sheikh@student.fyp.com,Student@Umar,Student
Ayan Malik,ayan.malik@student.fyp.com,Student@Ayan,Student
Dr Kamran Ali,dr.kamran.ali@hod.fyp.com,HOD@Kamran,HOD
Dr Nida Khan,dr.nida.khan@hod.fyp.com,HOD@Nida,HOD
Dr Faisal Ahmed,dr.faisal.ahmed@hod.fyp.com,HOD@Faisal,HOD
Sara Malik,sara.malik@supervisor.fyp.com,Supervisor@Sara,Supervisor
Imran Sheikh,imran.sheikh@supervisor.fyp.com,Supervisor@Imran,Supervisor
Rabia Noor,rabia.noor@supervisor.fyp.com,Supervisor@Rabia,Supervisor
Waleed Khan,waleed.khan@supervisor.fyp.com,Supervisor@Waleed,Supervisor
Areeba Ahmed,areeba.ahmed@supervisor.fyp.com,Supervisor@Areeba,Supervisor
Shahid Tariq,shahid.tariq@supervisor.fyp.com,Supervisor@Shahid,Supervisor
Danish Ali,danish.ali@supervisor.fyp.com,Supervisor@Danish,Supervisor
Hina Raza,hina.raza@supervisor.fyp.com,Supervisor@Hina,Supervisor
Fahad Khan,fahad.khan@supervisor.fyp.com,Supervisor@Fahad,Supervisor
Mariam Sheikh,mariam.sheikh@supervisor.fyp.com,Supervisor@Mariam,Supervisor
Adnan Malik,adnan.malik@panel.fyp.com,Panel@Adnan,Panel Member
Kashif Raza,kashif.raza@panel.fyp.com,Panel@Kashif,Panel Member
Sana Ahmed,sana.ahmed@panel.fyp.com,Panel@Sana,Panel Member
Noor Fatima,noor.fatima@panel.fyp.com,Panel@Noor,Panel Member
Adeel Khan,adeel.khan@panel.fyp.com,Panel@Adeel,Panel Member
Iqra Sheikh,iqra.sheikh@panel.fyp.com,Panel@Iqra,Panel Member
Haris Ali,haris.ali@panel.fyp.com,Panel@Haris,Panel Member
Mehwish Khan,mehwish.khan@panel.fyp.com,Panel@Mehwish,Panel Member
Yasir Tariq,yasir.tariq@panel.fyp.com,Panel@Yasir,Panel Member
Komal Ahmed,komal.ahmed@panel.fyp.com,Panel@Komal,Panel Member
Shayan Malik,shayan.malik@panel.fyp.com,Panel@Shayan,Panel Member
Mahnoor Ali,mahnoor.ali@panel.fyp.com,Panel@Mahnoor,Panel Member
Asim Raza,asim.raza@panel.fyp.com,Panel@Asim,Panel Member
Sidra Khan,sidra.khan@panel.fyp.com,Panel@Sidra,Panel Member
Jawad Ahmed,jawad.ahmed@panel.fyp.com,Panel@Jawad,Panel Member
Amina Sheikh,amina.sheikh@panel.fyp.com,Panel@Amina,Panel Member
Furqan Ali,furqan.ali@panel.fyp.com,Panel@Furqan,Panel Member
Nimra Tariq,nimra.tariq@panel.fyp.com,Panel@Nimra,Panel Member
Basit Khan,basit.khan@panel.fyp.com,Panel@Basit,Panel Member
Anaya Malik,anaya.malik@panel.fyp.com,Panel@Anaya,Panel Member
Hassan Qureshi,hassan.qureshi@coordinator.fyp.com,Coordinator@Hassan,Coordinator
Muneeb Ali,muneeb.ali@coordinator.fyp.com,Coordinator@Muneeb,Coordinator
Sadia Khan,sadia.khan@coordinator.fyp.com,Coordinator@Sadia,Coordinator
